Media,ABRC-new,Genotype,MRPL,MRVL,MRVA,noLRpMR,Basal,Branched,Apical,Straightness,TRS,LRDpMR,LRDpBZ,Depth,LRL,MRpTRS,aLRL,aLRLpMRL,LRLpMRL,BasalpMRL,BranchedpMRL,ApicalpMRL,PC1,PC2,PC3
75,CS28014,Amel-1,4.33808,4.00286,6.7631,12,0.0508,2.34274,1.94454,0.922726,7.771529,2.766201,5.122208,3.975006,3.433449,0.55820161,0.28612075,0.065955619,0.791467423,1.17102497,54.00407554,44.82489949,-1.688110672,-0.77205378,0.149175555
75,CS28014,Amel-1,4.78634,4.1275,0,16,0.117382,2.853078,1.81588,0.86235,8.711636,3.342846,5.607979,4.1275,3.925296,0.549419191,0.245331,0.051256492,0.820103879,2.452437562,59.6087616,37.93880084,-2.376342515,-0.450086276,-0.53707801
75,CS28014,Amel-1,4.90319,4.34526,-1.67975,17,0.0635,2.81009,2.0296,0.886211,9.351149,3.46713,6.049628,4.343393,4.447959,0.524340913,0.261644647,0.053362127,0.907156158,1.295075247,57.31146458,41.39346018,-2.807336038,-0.674442879,-0.32037035
125,CS28014,Amel-1,2.30825,2.05693,18.0973,6,0.127,1.59743,0.58382,0.891121,2.402411,2.599372,3.756033,1.955174,0.094161,0.960805624,0.0156935,0.006798874,0.040793242,5.502003682,69.20524207,25.29275425,2.63398389,0.456910755,-2.152048779
125,CS28014,Amel-1,2.35146,2.14815,-2.38594,5,0.542645,0.960465,0.84835,0.913539,2.42766,2.126338,5.205812,2.146288,0.0762,0.96861175,0.01524,0.00648108,0.032405399,23.07693943,40.84547473,36.07758584,3.716171541,-0.131136609,-1.296882461
125,CS28014,Amel-1,2.26489,1.86729,15.0831,4,0.216803,1.049897,0.99819,0.824451,2.430894,1.76609,3.809897,1.802961,0.166004,0.93171072,0.041501,0.018323627,0.073294509,9.572341262,46.35531968,44.07233905,3.284946371,0.141166427,-0.779815875
125,CS28014,Amel-1,2.50093,2.00664,-9.16235,3,0.559329,1.173811,0.76779,0.802357,2.53903,1.199554,2.555778,1.981037,0.0381,0.984994269,0.0127,0.005078111,0.015234333,22.36484028,46.93498019,30.70017953,3.859209665,0.190465041,-1.566660181
0,CS28017,An-2,5.2361,4.6792,9.87249,14,0.1651,2.04411,3.02689,0.893642,9.058519,2.673746,6.848947,4.60991,3.822419,0.578030471,0.273029929,0.052143757,0.730012605,3.153110139,39.03878841,57.80810145,-1.945046762,-2.19270682,0.934348907
0,CS28017,An-2,5.11165,4.69873,15.2415,14,0.148042,1.884638,3.07897,0.91922,9.454926,2.738842,7.428482,4.533458,4.343276,0.540633528,0.310234,0.060691558,0.849681805,2.896168556,36.86946485,60.23436659,-2.146634046,-2.16193481,1.375131247
0,CS28017,An-2,5.08971,4.64777,9.46232,8,0.250545,1.337635,3.50153,0.91317,7.46109,1.571799,5.980705,4.584532,2.37138,0.682167083,0.2964225,0.058239566,0.465916526,4.922579086,26.28116337,68.79625755,-0.398674366,-3.173285985,1.679196349
0,CS28017,An-2,1.51762,1.30866,1.68468,10,0.158563,1.302997,0.05606,0.862311,2.240772,6.589265,7.674615,1.308094,0.723152,0.67727551,0.0723152,0.0476504,0.476504,10.4481359,85.85792227,3.69394183,1.01733803,3.827862755,-2.549008384
75,CS28017,An-2,6.6298,5.84897,7.12502,23,0.178703,4.059207,2.39189,0.882224,15.827798,3.469185,5.666131,5.803803,9.197998,0.418870648,0.399912957,0.060320516,1.387371866,2.695450843,61.22668859,36.07786057,-5.930375572,-1.804234806,0.035302309
75,CS28017,An-2,5.73224,4.68231,13.8473,18,0.222063,2.897867,2.61231,0.816838,15.230457,3.140134,6.211465,4.546228,9.498217,0.376366907,0.527678722,0.092054541,1.656981738,3.87393061,50.55383236,45.57223703,-4.96031656,-0.736782871,1.753594674
75,CS28017,An-2,6.50678,5.6337,-2.97877,27,0.079282,4.527978,1.89952,0.86582,14.145075,4.149518,5.962926,5.626088,7.638295,0.460003217,0.282899815,0.043477698,1.173897842,1.218452138,69.58861372,29.19293414,-5.766944884,-1.200697185,-1.292233338
75,CS28017,An-2,6.22527,5.66536,-1.15863,20,0.106861,3.767479,2.35093,0.910059,13.6246,3.212712,5.30859,5.664202,7.39933,0.456913964,0.3699665,0.059429792,1.188595836,1.716568117,60.51912608,37.76430581,-5.014437037,-1.777456141,-0.164519373
125,CS28017,An-2,2.61614,1.95065,-8.2894,9,0.145863,1.267977,1.2023,0.745621,3.277069,3.440183,7.09792,1.930271,0.660929,0.798317033,0.073436556,0.028070576,0.25263518,5.575504369,48.46747498,45.95702065,1.734473881,1.236916376,-0.810073816
125,CS28017,An-2,2.1515,1.59903,-29.2328,6,0.198842,1.343798,0.60886,0.743216,2.544828,2.788752,4.464957,1.395382,0.393328,0.845440242,0.065554667,0.030469285,0.18281571,9.242017197,62.45865675,28.29932605,2.373446795,2.128106894,-1.860762211
125,CS28017,An-2,2.63192,1.76535,-23.035,14,0.124821,1.597799,0.9093,0.670746,4.084763,5.31931,8.762053,1.624592,1.452843,0.644326244,0.1037745,0.0394292,0.5520088,4.742583361,60.70849418,34.54892246,0.216005811,3.050518471,-1.297369164
125,CS28017,An-2,2.3607,1.39163,-49.856602,2,0.117382,1.207928,1.03539,0.589499,2.3861,0.847206,1.655728,0.897188,0.0254,0.989355014,0.0127,0.00537976,0.01075952,4.972338713,51.16821282,43.85944847,3.50826144,1.612408013,-1.681023747
0,CS28018,Ang-0,3.49844,3.2512,0,7,0.094161,1.230249,2.17403,0.929329,5.49265,2.000892,5.689905,3.2512,1.99421,0.636931172,0.284887143,0.081432622,0.570028355,2.691513932,35.16564526,62.14284081,0.292579227,-0.865426768,1.166535174
